DATETIME,open,close,high,low
2009-03-04,90.18,91.17,92.77,89.45
2009-03-05,90.46,88.84,91.87,88.45
2009-03-06,88.34,85.3,88.4,82.33
2009-03-09,84.18,83.11,87.6,82.57
2009-03-10,84.87,88.6275,89.17,84.36
2009-03-11,89.81,92.68,94.07,89.58
2009-03-12,92.9,96.35,96.58,92.0
2009-03-13,96.3,95.93,97.2,95.01
2009-03-16,96.53,95.42,97.39,94.18
2009-03-17,95.24,99.66,99.69,95.07
2009-03-18,99.91,101.52,103.48,99.72
2009-03-19,101.85,101.62,103.2,100.25
2009-03-20,102.09,101.59,103.11,100.57
2009-03-23,102.71,107.66,108.16,101.75
2009-03-24,106.36,106.501,109.44,105.3872
2009-03-25,107.58,106.49,108.36,103.86
2009-03-26,107.83,109.87,109.98,107.58
2009-03-27,108.23,106.85,108.53,106.4
2009-03-30,104.51,104.49,105.01,102.61
2009-03-31,105.45,105.12,107.45,105.0
2009-04-01,104.09,108.69,109.0,103.89
2009-04-02,110.145,112.71,114.75,109.78
2009-04-03,114.19,115.99,116.13,113.52
2009-04-06,114.94,118.45,118.75,113.28
2009-04-07,116.53,115.0,116.67,114.19
2009-04-08,115.43,116.32,116.79,114.58
2009-04-09,118.42,119.57,120.0,117.96
2009-04-13,120.01,120.22,120.98,119.0
2009-04-14,119.57,118.31,120.17,117.25
2009-04-15,117.2,117.64,118.25,115.76
2009-04-16,119.19,121.45,123.15,118.79
2009-04-17,121.18,123.42,124.25,120.25
2009-04-20,121.73,120.5,122.99,119.16
2009-04-21,118.89,121.76,122.14,118.6
2009-04-22,122.63,121.51,125.35,121.2
2009-04-23,126.62,125.4,127.2,123.51
2009-04-24,124.64,123.9,125.14,122.97
2009-04-27,122.9,124.73,125.0,122.66
2009-04-28,123.3501,123.902,126.21,123.26
2009-04-29,124.85,125.14,126.85,123.83
2009-04-30,126.22,125.83,127.0,124.92
2009-05-01,125.8,127.24,127.95,125.8
2009-05-04,128.24,132.07,132.25,127.68
2009-05-05,131.75,132.71,132.86,131.12
2009-05-06,133.33,132.5,133.5,130.22
2009-05-07,132.33,129.06,132.39,127.9
2009-05-08,129.04,129.19,131.2342,126.26
2009-05-11,127.37,129.57,130.96,127.12
2009-05-12,129.56,124.42,129.71,123.25
2009-05-13,123.21,119.49,124.02,119.38
2009-05-14,119.78,122.95,123.53,119.7
2009-05-15,122.32,122.42,124.62,121.61
2009-05-18,123.73,126.65,126.7,121.57
2009-05-19,126.82,127.45,129.31,125.74
2009-05-20,127.63,125.87,129.21,125.3
2009-05-21,125.15,124.18,126.78,122.89
2009-05-22,124.05,122.5,124.18,121.75
2009-05-26,124.76,130.78,130.83,124.55
2009-05-27,131.78,133.05,134.98,130.91
2009-05-28,133.45,135.07,135.39,132.03
2009-05-29,135.39,135.81,135.9,133.85
2009-06-01,136.47,139.35,139.99,136.0
2009-06-02,138.99,139.49,141.34,138.35
2009-06-03,140.0,140.95,141.11,139.07
2009-06-04,140.13,143.74,144.18,140.04
2009-06-05,145.31,144.67,146.4,143.21
2009-06-08,143.82,143.85,144.23,139.43
2009-06-09,143.81,142.72,144.56,140.55
2009-06-10,142.28,140.25,142.35,138.3
2009-06-11,139.55,139.95,141.56,138.55
